ASGS_Structure,Census_Code_2021,AGSS_Code_2021,Census_Name_2021,Area sqkm
IARE,IARE505010,505010,Kalamunda,283.8001
IARE,IARE505011,505011,Kwinana,120.0123
IARE,IARE505012,505012,Melville,53.4537
IARE,IARE505013,505013,Mundaring - Swan View,683.1714
IARE,IARE505014,505014,Perth,79.7179
IARE,IARE505015,505015,Rockingham,245.2759
IARE,IARE505016,505016,Serpentine - Jarrahdale,904.7635
IARE,IARE505017,505017,South Perth - Victoria Park,37.2985
IARE,IARE505018,505018,Stirling,111.8624
IARE,IARE505019,505019,Swan,1056.7602
IARE,IARE505020,505020,Wanneroo - North-East,561.621
IARE,IARE505021,505021,Yanchep - Two Rocks,124.0486
IARE,IARE506001,506001,East Pilbara,372295.6721
IARE,IARE506002,506002,Exmouth - Ashburton,107305.5209
IARE,IARE506003,506003,Karratha,134.2041
IARE,IARE506004,506004,Port Hedland,18416.3139
IARE,IARE506005,506005,Roebourne - Wickham,15104.8531
IARE,IARE507001,507001,Albany,4308.458
IARE,IARE507002,507002,Avon,33209.435
IARE,IARE507003,507003,Bunbury,65.4565
IARE,IARE507004,507004,Busselton,1423.304
IARE,IARE507005,507005,Campion,60004.4862
IARE,IARE507006,507006,Harvey and Surrounds,1727.9415
IARE,IARE507007,507007,Hotham - Kulin,36107.0275
IARE,IARE507008,507008,Kojonup - Gnowangerup,23567.3248
IARE,IARE507009,507009,Mandurah,224.0036
IARE,IARE507010,507010,Manjimup - Denmark - Plantagenet,14394.9541
IARE,IARE507011,507011,Moora - Chittering,17453.8724
IARE,IARE507012,507012,Murray - Waroona - Boddington,4387.5115
IARE,IARE507013,507013,Narrogin - Wagin - Katanning,12556.3749
IARE,IARE507014,507014,Northam,26.7836
IARE,IARE507015,507015,South-West,13723.8738
IARE,IARE508001,508001,Derby - Mowanjum,22.3537
IARE,IARE508003,508003,Fitzroy River,32287.8531
IARE,IARE508005,508005,Fitzroy Crossing,9032.5999
IARE,IARE508006,508006,Outer Derby - West Kimberley,69456.1089
IARE,IARE594994,594994,No usual address (WA),0
IARE,IARE597997,597997,Migratory - Offshore - Shipping (WA),0
IARE,IARE601001,601001,Central Coast - Devonport,1066.2031
IARE,IARE601002,601002,Central Tasmania,23726.8531
IARE,IARE601003,601003,Greater Hobart,773.9498
IARE,IARE601004,601004,Huon Valley,1749.2174
IARE,IARE601005,601005,Kingborough,685.8432
IARE,IARE601006,601006,Launceston,1425.3069
IARE,IARE601007,601007,Meander Valley - Kentish,4549.1786
IARE,IARE601008,601008,Tasmania - North-East Coast,9248.6529
IARE,IARE601009,601009,Tasmania - South-East Coast,3794.4919
IARE,IARE601010,601010,Tasmania - West Coast,19723.7909
IARE,IARE601011,601011,West Tamar - Latrobe,1274.0515
