ASGS_Structure,Census_Code_2021,AGSS_Code_2021,Census_Name_2021,Area sqkm
UCL,UCL114029,114029,Silverdale - Warragamba,6.1537
UCL,UCL114030,114030,South West Rocks,12.7605
UCL,UCL114031,114031,Summerland Point - Gwandalan,7.0648
UCL,UCL114032,114032,Tahmoor,4.6536
UCL,UCL114033,114033,Tumut,12.0833
UCL,UCL114034,114034,Wauchope,24.193
UCL,UCL114035,114035,Woolgoolga,9.1019
UCL,UCL114036,114036,Yamba,8.8924
UCL,UCL114037,114037,Yass,8.1577
UCL,UCL114038,114038,Young,11.4838
UCL,UCL115001,115001,Aberdeen,4.6827
UCL,UCL115002,115002,Anna Bay - Boat Harbour,5.965
UCL,UCL115003,115003,Appin,2.7104
UCL,UCL115004,115004,Arrawarra,7.2412
UCL,UCL115005,115005,Balranald,3.5294
UCL,UCL115006,115006,Bangalow,1.8485
UCL,UCL115007,115007,Bargo,4.4939
UCL,UCL115008,115008,Barham - Koondrook (Barham Part),4.224
UCL,UCL115009,115009,Barooga,5.6934
UCL,UCL115010,115010,Barraba,2.6989
UCL,UCL115011,115011,Basin View,3.8768
UCL,UCL115012,115012,Batlow,2.8616
UCL,UCL115013,115013,Bega,6.7675
UCL,UCL115014,115014,Bellingen,3.6139
UCL,UCL115015,115015,Bermagui,9.2223
UCL,UCL115016,115016,Berridale,2.2642
UCL,UCL115017,115017,Berry,3.0097
UCL,UCL115018,115018,Bingara,3.9256
UCL,UCL115019,115019,Blackheath,15.9555
UCL,UCL115020,115020,Blayney,5.3696
UCL,UCL115021,115021,Bombala,5.1846
UCL,UCL115022,115022,Bonny Hills,2.7491
UCL,UCL115023,115023,Boorowa,6.0795
UCL,UCL115024,115024,Bourke,6.5338
UCL,UCL115025,115025,Bowen Mountain,0.9065
UCL,UCL115026,115026,Braidwood,4.8704
UCL,UCL115027,115027,Branxton,3.7413
UCL,UCL115028,115028,Broulee - Mossy Point,5.7405
UCL,UCL115029,115029,Brunswick Heads,4.0461
UCL,UCL115030,115030,Bulahdelah,2.5821
UCL,UCL115031,115031,Bundanoon,9.6503
UCL,UCL115032,115032,Bundeena,1.1786
UCL,UCL115033,115033,Bungendore,5.0679
UCL,UCL115034,115034,Buxton (NSW),1.588
UCL,UCL115035,115035,Calala,3.2268
UCL,UCL115036,115036,Callala Bay,5.072
UCL,UCL115037,115037,Cambewarra Village,0.995
UCL,UCL115038,115038,Canowindra,4.204
UCL,UCL115039,115039,Cobar,9.5893
UCL,UCL115040,115040,Colo Vale,4.3899
UCL,UCL115041,115041,Condobolin,8.5865
UCL,UCL115042,115042,Coolamon,5.4419
UCL,UCL115043,115043,Coonabarabran,11.0219
UCL,UCL115044,115044,Coonamble,10.1731
UCL,UCL115045,115045,Coraki,3.0021
UCL,UCL115046,115046,Corindi Beach,2.3846
UCL,UCL115047,115047,Crookwell,4.9173
UCL,UCL115048,115048,Culburra Beach - Orient Point,7.0568
UCL,UCL115049,115049,Culcairn,2.5325
UCL,UCL115050,115050,Cumbalum,1.7283
UCL,UCL115051,115051,Dalmeny,5.4353
UCL,UCL115052,115052,Denman,3.2542
UCL,UCL115053,115053,Dorrigo,4.2195
UCL,UCL115054,115054,Douglas Park,5.9437
UCL,UCL115055,115055,Dungog,6.4834
UCL,UCL115056,115056,Eden,8.161
UCL,UCL115057,115057,Evans Head,9.4322
UCL,UCL115058,115058,Fingal Bay,1.118
UCL,UCL115059,115059,Finley,5.9822
UCL,UCL115060,115060,Forest Hill (NSW),6.0699
UCL,UCL115061,115061,Frederickton,1.5209
UCL,UCL115062,115062,Freemans Reach,3.7144
UCL,UCL115063,115063,Galston,0.527
UCL,UCL115064,115064,Gerringong,2.6665
UCL,UCL115065,115065,Gilgandra,10.9255
UCL,UCL115066,115066,Glossodia,8.0675
UCL,UCL115067,115067,Gloucester,5.8359
UCL,UCL115068,115068,Greenwell Point,2.667
UCL,UCL115069,115069,Grenfell,10.9719
UCL,UCL115070,115070,Greta,5.1063
UCL,UCL115071,115071,Gulgong,4.042
UCL,UCL115072,115072,Gulmarrad,9.2572
UCL,UCL115073,115073,Gundagai,9.0449
UCL,UCL115074,115074,Guyra,7.7244
UCL,UCL115075,115075,Hallidays Point - Black Head,3.5175
UCL,UCL115076,115076,Harden - Murrumburrah,5.832
UCL,UCL115077,115077,Harrington,3.1929
UCL,UCL115078,115078,Hawks Nest ,13.8335
UCL,UCL115079,115079,Hay,10.731
UCL,UCL115080,115080,Hill Top,2.2634
UCL,UCL115081,115081,Hillston,6.3583
UCL,UCL115082,115082,Holbrook,3.82
UCL,UCL115083,115083,Howlong,4.0465
UCL,UCL115084,115084,Iluka,5.5661
UCL,UCL115085,115085,Jamberoo,1.4114
UCL,UCL115086,115086,Jindabyne,2.0513
UCL,UCL115087,115087,Jindera,3.2855
UCL,UCL115088,115088,Junction Hill,2.3406
UCL,UCL115089,115089,Junee,20.8145
UCL,UCL115090,115090,Kandos,4.4775
UCL,UCL115091,115091,Karuah,3.0402
UCL,UCL115092,115092,Kootingal,2.2163
UCL,UCL115093,115093,Kurrajong,2.229
UCL,UCL115094,115094,Kyogle,5.6379
UCL,UCL115095,115095,Lake Cargelligo,6.0893
UCL,UCL115096,115096,Lake Cathie,9.3406
UCL,UCL115097,115097,Lemon Tree Passage,1.8194
UCL,UCL115098,115098,Lightning Ridge,2.9268
UCL,UCL115099,115099,Macksville,11.3702
UCL,UCL115100,115100,Maclean,3.6455
UCL,UCL115101,115101,Malua Bay,4.4412
UCL,UCL115102,115102,Manilla,3.2074
UCL,UCL115103,115103,Merriwa,3.8132
UCL,UCL115104,115104,Milton,3.1512
UCL,UCL115105,115105,Molong,3.8336
UCL,UCL115106,115106,Moruya,6.301
UCL,UCL115107,115107,Mullumbimby,4.2217
UCL,UCL115108,115108,Murrumbateman,9.0224
UCL,UCL115109,115109,Narooma,8.047
UCL,UCL115110,115110,Narrandera,7.8069
UCL,UCL115111,115111,Narromine,10.4355
