ASGS_Structure,Census_Code_2021,AGSS_Code_2021,Census_Name_2021,Area sqkm
SA2,101061542,101061542,Yass Surrounds,5680.5696
SA2,101061543,101061543,Young,505.753
SA2,101061544,101061544,Young Surrounds,5849.8086
SA2,102011028,102011028,Avoca Beach - Copacabana,6.4376
SA2,102011029,102011029,Box Head - MacMasters Beach,32.0802
SA2,102011030,102011030,Calga - Kulnura,767.9512
SA2,102011031,102011031,Erina - Green Point,33.7934
SA2,102011032,102011032,Gosford - Springfield,16.9123
SA2,102011033,102011033,Kariong,8.3063
SA2,102011034,102011034,Kincumber - Picketts Valley,11.7169
SA2,102011035,102011035,Narara,7.7021
SA2,102011036,102011036,Niagara Park - Lisarow,16.7316
SA2,102011037,102011037,Point Clare - Koolewong,6.7794
SA2,102011038,102011038,Saratoga - Davistown,4.7683
SA2,102011039,102011039,Terrigal - North Avoca,10.4791
SA2,102011040,102011040,Umina - Booker Bay - Patonga,25.2285
SA2,102011041,102011041,Wamberal - Forresters Beach,13.7221
SA2,102011042,102011042,Woy Woy - Blackwall,17.3963
SA2,102011043,102011043,Wyoming,8.381
SA2,102021044,102021044,Bateau Bay - Killarney Vale,10.8595
SA2,102021045,102021045,Blue Haven - San Remo,20.9795
SA2,102021046,102021046,Budgewoi - Buff Point - Halekulani,9.3297
SA2,102021047,102021047,Chittaway Bay - Tumbi Umbi,24.4986
SA2,102021048,102021048,Gorokan - Kanwal - Charmhaven,11.249
SA2,102021049,102021049,Jilliby - Yarramalong,346.7662
SA2,102021050,102021050,Lake Munmorah - Mannering Park,35.4946
SA2,102021051,102021051,Ourimbah - Fountaindale,114.1172
SA2,102021052,102021052,Summerland Point - Gwandalan,9.1793
SA2,102021053,102021053,The Entrance,13.8576
SA2,102021054,102021054,Toukley - Norah Head,10.5216
SA2,102021055,102021055,Tuggerah - Kangy Angy,27.8463
SA2,102021056,102021056,Warnervale - Wadalba,42.89
SA2,102021057,102021057,Wyong,15.0334
